date,Blue,Green,Red
1991/92,142,51,91
1992/93,146,39,96
1993/94,141,40,85
1994/95,112,46,80
1995/96,130,38,69
1996/97,141,50,73
1997/98,140,51,null
1998/99,121,52,null
1999/00,133,57,null
2000/01,151,55,null
2001/02,150,50,null
2002/03,172,54,null
2003/04,184,47,null
2004/05,189,45,109
2005/06,175,56,129
2006/07,200,63,135
2007/08,158,66,117
2008/09,159,126,142
2009/10,130,104,134
2010/11,125,92,122
2011/12,133,92,126
2012/13,131,75,115
2013/14,125,78,114
2014/15,128,86,105
2015/16,132,86,88