date,mean,m+sd,m-sd,2020
1,11075.4,13175.66767,8975.132327,12254
2,14108.4,15586.77472,12630.02528,14058
3,13199,14670.12049,11727.87951,12990
4,12776.4,13934.98224,11617.81776,11856
5,12249.4,13147.79986,11351.00014,11612
6,11887,12449.48956,11324.51044,10986
7,11728.6,12113.63026,11343.56974,10944
8,11436.4,12023.90345,10848.89655,10841
9,11120.6,11357.61751,10883.58249,10816
10,11538.2,12370.50595,10705.89405,10895
11,11189.4,12083.90059,10294.89941,11019
12,10832.6,11477.55605,10187.64395,10645
13,9976.2,10295.60992,9656.790075,11141
14,10028.8,10665.24929,9392.350709,16387
15,10544.2,12013.27988,9075.120118,18516
16,10578.4,11741.9937,9414.806299,22351